invoice_line_id,invoice_id,invoice_date,invoice_status,quantity,unit_price,discount,gross_amount,discount_amount,net_amount_local,revenue_usd,cost_total,profit_local,profit_usd,currency,rate_to_usd,customer_id,customer_name,customer_type,customer_country,customer_signup_date,product_id,product_name,product_category,cost_price,region,region_country,invoice_year,invoice_month,invoice_quarter,invoice_day_of_week,invoice_month_name,invoice_day_name
L0000010,INV000003,2023-04-25,Paid,1,910,0.1,910,91,819,9.25,154,665,7.51,INR,0.0113,C0039,Customer_39,Retail,INDIA,2020-11-14,P055,Product_55,Electronics,154,SOUTH,null,2023,4,2,3,April,Tuesday
L0000029,INV000009,2023-12-07,Cancelled,2,340,0,680,0,680,8.84,0,680,8.84,INR,0.013,C0211,Customer_211,Retail,UNKNOWN,2021-06-26,P024,Product_24,Accessories,0,SOUTH,null,2023,12,4,5,December,Thursday
L0000035,INV000011,2023-08-16,Cancelled,2,588,0,1176,0,1176,1332.76,532,644,729.85,EUR,1.1333,C0103,Customer_103,Test,UNKNOWN,2021-10-26,P010,Product_10,Electronics,266,EAST,null,2023,8,3,4,August,Wednesday
L0000042,INV000013,2023-12-03,Cancelled,5,194,0.05,970,48.5,921.5,921.5,1665,-743.5,-743.5,USD,1,C0143,Customer_143,Corporate,UNKNOWN,2023-10-25,P048,Product_48,Electronics,333,EAST,null,2023,12,4,1,December,Sunday
L0000047,INV000014,2024-10-18,Paid,6,717,0.05,4302,215.1,4086.9,4447.36,1842,2244.9,2442.9,EUR,1.0882,C0261,Customer_261,Retail,INDIA,2022-08-26,P019,Product_19,Accessories,307,EAST,null,2024,10,4,6,October,Friday
L0000079,INV000024,2024-11-24,Open,4,785,0,3140,0,3140,38.31,320,2820,34.4,INR,0.0122,C0090,Customer_90,Retail,INDIA,2020-12-16,P006,Product_6,Electronics,80,EAST,null,2024,11,4,1,November,Sunday
L0000084,INV000025,2024-07-15,Paid,3,569,0.1,1707,170.7,1536.3,1662.28,555,981.3,1061.77,EUR,1.082,C0001,Customer_1,Test,USA,2023-08-02,P008,Product_8,Electronics,185,EAST,null,2024,7,3,2,July,Monday
L0000156,INV000045,2023-01-07,Open,4,811,0,3244,0,3244,3519.09,804,2440,2646.91,EUR,1.0848,C0181,Customer_181,Retail,UNKNOWN,2021-02-11,P014,Product_14,Accessories,201,WEST,null,2023,1,1,7,January,Saturday
L0000209,INV000061,2024-08-12,Paid,10,199,0.1,1990,199,1791,1921.74,4860,-3069,-3293.04,EUR,1.073,C0193,Customer_193,Retail,UNKNOWN,2022-01-13,P056,Product_56,Electronics,486,SOUTH,null,2024,8,3,2,August,Monday
L0000231,INV000066,2024-10-12,Open,1,130,0,130,0,130,1.59,195,-65,-0.79,INR,0.0122,C0236,Customer_236,Corporate,USA,2023-02-08,P043,Product_43,Accessories,195,SOUTH,null,2024,10,4,7,October,Saturday
L0000267,INV000082,2023-08-10,Paid,7,822,0,5754,0,5754,6049.76,1407,4347,4570.44,EUR,1.0514,C0248,Customer_248,Test,UNKNOWN,2021-11-07,P014,Product_14,Accessories,201,EAST,null,2023,8,3,5,August,Thursday
L0000306,INV000092,2024-04-06,Cancelled,3,650,0.05,1950,97.5,1852.5,2117.22,261,1591.5,1818.93,EUR,1.1429,C0227,Customer_227,Corporate,USA,2022-11-25,P039,Product_39,Electronics,87,WEST,null,2024,4,2,7,April,Saturday
L0000350,INV000105,2023-01-27,Cancelled,10,437,0,4370,0,4370,4370,4300,70,70,USD,1,C0047,Customer_47,Corporate,USA,2021-12-05,P052,Product_52,Accessories,430,NORTH,null,2023,1,1,6,January,Friday
L0000351,INV000106,2024-08-13,Open,2,899,0,1798,0,1798,1798,1000,798,798,USD,1,C0021,Customer_21,Retail,UNKNOWN,2020-02-24,P042,Product_42,Electronics,500,WEST,null,2024,8,3,3,August,Tuesday
L0000409,INV000120,2024-05-09,Paid,1,421,0.05,421,21.05,399.95,399.95,500,-100.05,-100.05,USD,1,C0242,Customer_242,Retail,UNKNOWN,2023-12-20,P042,Product_42,Electronics,500,WEST,null,2024,5,2,5,May,Thursday
L0000415,INV000121,2024-01-28,Paid,1,418,0.1,418,41.8,376.2,4.55,339,37.2,0.45,INR,0.0121,C0098,Customer_98,Test,INDIA,2023-08-03,P030,Product_30,Accessories,339,SOUTH,null,2024,1,1,1,January,Sunday
L0000472,INV000135,2024-10-08,Open,7,219,0.1,1533,153.3,1379.7,1379.7,2163,-783.3,-783.3,USD,1,C0148,Customer_148,Test,UNKNOWN,2022-02-20,P040,Product_40,Accessories,309,NORTH,null,2024,10,4,3,October,Tuesday
L0000480,INV000136,2023-04-11,Cancelled,10,436,0,4360,0,4360,4646.02,0,4360,4646.02,EUR,1.0656,C0052,Customer_52,Retail,INDIA,2022-07-29,P022,Product_22,Accessories,0,SOUTH,null,2023,4,2,3,April,Tuesday
L0000483,INV000137,2023-01-30,Cancelled,10,180,0.1,1800,180,1620,1808.57,800,820,915.45,EUR,1.1164,C0024,Customer_24,Corporate,INDIA,2024-01-06,P006,Product_6,Electronics,80,NORTH,null,2023,1,1,2,January,Monday
L0000581,INV000165,2024-04-09,Paid,1,554,0.05,554,27.7,526.3,6.05,256,270.3,3.11,INR,0.0115,C0190,Customer_190,Test,USA,2022-09-27,P025,Product_25,Electronics,256,WEST,null,2024,4,2,3,April,Tuesday
L0000627,INV000179,2024-04-07,Cancelled,7,243,0.05,1701,85.05,1615.95,1615.95,2387,-771.05,-771.05,USD,1,C0258,Customer_258,Retail,UNKNOWN,2024-01-21,P026,Product_26,Accessories,341,NORTH,null,2024,4,2,1,April,Sunday
L0000639,INV000183,2023-05-10,Open,6,529,0.1,3174,317.4,2856.6,34.56,480,2376.6,28.76,INR,0.0121,C0141,Customer_141,Test,UNKNOWN,2023-07-09,P006,Product_6,Electronics,80,EAST,null,2023,5,2,4,May,Wednesday
L0000648,INV000185,2023-04-12,Open,5,522,0.1,2610,261,2349,27.95,1770,579,6.89,INR,0.0119,C0059,Customer_59,Test,USA,2023-07-11,P023,Product_23,Accessories,354,SOUTH,null,2023,4,2,4,April,Wednesday
L0000668,INV000190,2023-04-06,Paid,6,922,0.1,5532,553.2,4978.8,4978.8,2898,2080.8,2080.8,USD,1,C0222,Customer_222,Test,INDIA,2022-03-28,P058,Product_58,Electronics,483,EAST,null,2023,4,2,5,April,Thursday
L0000744,INV000211,2024-05-27,Paid,6,445,0.05,2670,133.5,2536.5,31.71,1962,574.5,7.18,INR,0.0125,C0287,Customer_287,Retail,INDIA,2021-01-24,P016,Product_16,Electronics,327,EAST,null,2024,5,2,2,May,Monday
L0000746,INV000211,2024-05-27,Paid,8,661,0.1,5288,528.8,4759.2,59.49,4000,759.2,9.49,INR,0.0125,C0287,Customer_287,Retail,INDIA,2021-01-24,P042,Product_42,Electronics,500,EAST,null,2024,5,2,2,May,Monday
L0000780,INV000220,2023-12-24,Paid,6,904,0,5424,0,5424,65.63,2778,2646,32.02,INR,0.0121,C0180,Customer_180,Retail,INDIA,2023-06-01,P046,Product_46,Electronics,463,SOUTH,null,2023,12,4,1,December,Sunday
L0000784,INV000222,2024-09-08,Paid,3,580,0,1740,0,1740,20.18,0,1740,20.18,INR,0.0116,C0079,Customer_79,Test,USA,2022-01-28,P029,Product_29,Accessories,0,NORTH,null,2024,9,3,1,September,Sunday
L0000786,INV000223,2024-10-05,Cancelled,9,689,0,6201,0,6201,6940.78,2691,3510,3928.74,EUR,1.1193,C0253,Customer_253,Test,USA,2023-10-02,P013,Product_13,Electronics,299,WEST,null,2024,10,4,7,October,Saturday
L0000791,INV000224,2024-10-04,Paid,6,850,0,5100,0,5100,5100,480,4620,4620,USD,1,C0162,Customer_162,Test,INDIA,2021-11-27,P006,Product_6,Electronics,80,WEST,null,2024,10,4,6,October,Friday
L0000798,INV000226,2024-08-28,Cancelled,8,563,0,4504,0,4504,4949.45,2832,1672,1837.36,EUR,1.0989,C0029,Customer_29,Test,USA,2021-03-27,P027,Product_27,Electronics,354,NORTH,null,2024,8,3,4,August,Wednesday
L0000824,INV000234,2024-01-17,Cancelled,7,668,0.1,4676,467.6,4208.4,4824.09,357,3851.4,4414.86,EUR,1.1463,C0145,Customer_145,Retail,UNKNOWN,2023-05-06,P007,Product_7,Electronics,51,WEST,null,2024,1,1,4,January,Wednesday
L0000836,INV000238,2023-12-25,Paid,1,143,0.05,143,7.15,135.85,1.75,486,-350.15,-4.52,INR,0.0129,C0159,Customer_159,Retail,USA,2023-01-04,P056,Product_56,Electronics,486,WEST,null,2023,12,4,2,December,Monday
L0000875,INV000250,2024-01-27,Paid,2,613,0,1226,0,1226,15.08,0,1226,15.08,INR,0.0123,C0258,Customer_258,Retail,UNKNOWN,2024-01-21,P017,Product_17,Electronics,0,WEST,null,2024,1,1,7,January,Saturday
L0000907,INV000258,2023-05-21,Paid,1,265,0.05,265,13.25,251.75,288.23,0,251.75,288.23,EUR,1.1449,C0020,Customer_20,Corporate,INDIA,2023-05-17,P029,Product_29,Accessories,0,WEST,null,2023,5,2,1,May,Sunday
L0000940,INV000265,2023-09-04,Paid,2,470,0,940,0,940,1053.08,308,632,708.03,EUR,1.1203,C0293,Customer_293,Test,UNKNOWN,2021-07-24,P055,Product_55,Electronics,154,SOUTH,null,2023,9,3,2,September,Monday
L0001001,INV000284,2023-12-28,Paid,6,971,0.1,5826,582.6,5243.4,5806.02,1368,3875.4,4291.23,EUR,1.1073,C0223,Customer_223,Corporate,UNKNOWN,2023-10-07,P041,Product_41,Accessories,228,NORTH,null,2023,12,4,5,December,Thursday
L0001020,INV000289,2024-01-16,Cancelled,5,730,0.1,3650,365,3285,3285,2255,1030,1030,USD,1,C0228,Customer_228,Test,USA,2022-07-13,P009,Product_9,Electronics,451,SOUTH,null,2024,1,1,3,January,Tuesday
L0001033,INV000293,2023-09-24,Open,6,869,0,5214,0,5214,5214,2916,2298,2298,USD,1,C0229,Customer_229,Test,INDIA,2020-09-04,P056,Product_56,Electronics,486,EAST,null,2023,9,3,1,September,Sunday
L0001048,INV000298,2023-07-25,Paid,10,779,0.05,7790,389.5,7400.5,7400.5,2840,4560.5,4560.5,USD,1,C0072,Customer_72,Corporate,INDIA,2020-07-25,P035,Product_35,Electronics,284,WEST,null,2023,7,3,3,July,Tuesday
L0001053,INV000299,2024-01-05,Open,7,308,0.1,2156,215.6,1940.4,25.03,2247,-306.6,-3.96,INR,0.0129,C0284,Customer_284,Corporate,INDIA,2020-08-11,P020,Product_20,Electronics,321,EAST,null,2024,1,1,6,January,Friday
L0001057,INV000300,2024-07-18,Paid,2,592,0,1184,0,1184,13.97,708,476,5.62,INR,0.0118,C0067,Customer_67,Corporate,UNKNOWN,2023-09-16,P023,Product_23,Accessories,354,NORTH,null,2024,7,3,5,July,Thursday
L0001124,INV000319,2023-09-05,Open,4,914,0,3656,0,3656,3656,740,2916,2916,USD,1,C0239,Customer_239,Test,INDIA,2021-03-27,P033,Product_33,Electronics,185,EAST,null,2023,9,3,3,September,Tuesday
L0001128,INV000320,2023-09-11,Cancelled,0,855,0.05,0,0,0,0,0,0,0,USD,1,C0073,Customer_73,Corporate,UNKNOWN,2022-02-17,P013,Product_13,Electronics,299,NORTH,null,2023,9,3,2,September,Monday
L0001163,INV000328,2023-09-28,Paid,1,665,0,665,0,665,744.14,354,311,348.01,EUR,1.119,C0188,Customer_188,Test,INDIA,2023-05-11,P027,Product_27,Electronics,354,EAST,null,2023,9,3,5,September,Thursday
L0001182,INV000333,2023-05-28,Paid,6,138,0.1,828,82.8,745.2,9.61,1962,-1216.8,-15.7,INR,0.0129,C0102,Customer_102,Test,USA,2023-11-03,P016,Product_16,Electronics,327,WEST,null,2023,5,2,1,May,Sunday
L0001228,INV000345,2024-12-23,Cancelled,1,671,0,671,0,671,8.66,339,332,4.28,INR,0.0129,C0071,Customer_71,Test,INDIA,2021-04-21,P030,Product_30,Accessories,339,SOUTH,null,2024,12,4,2,December,Monday
L0001231,INV000345,2024-12-23,Cancelled,10,470,0.05,4700,235,4465,57.6,1950,2515,32.44,INR,0.0129,C0071,Customer_71,Test,INDIA,2021-04-21,P043,Product_43,Accessories,195,SOUTH,null,2024,12,4,2,December,Monday
L0001238,INV000347,2023-06-27,Cancelled,8,928,0.05,7424,371.2,7052.8,83.22,3992,3060.8,36.12,INR,0.0118,C0236,Customer_236,Corporate,USA,2023-02-08,P050,Product_50,Electronics,499,EAST,null,2023,6,2,3,June,Tuesday
L0001247,INV000351,2023-11-21,Cancelled,8,517,0.05,4136,206.8,3929.2,4379.49,3888,41.2,45.92,EUR,1.1146,C0246,Customer_246,Test,USA,2020-05-18,P056,Product_56,Electronics,486,EAST,null,2023,11,4,3,November,Tuesday
L0001285,INV000361,2023-11-25,Paid,3,405,0,1215,0,1215,13.49,1500,-285,-3.16,INR,0.0111,C0147,Customer_147,Test,USA,2022-02-27,P042,Product_42,Electronics,500,NORTH,null,2023,11,4,7,November,Saturday
